QuestionID,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Category,SubCategory,Difficulty,Marks,NegativeMarks,EstimatedTime,Explanation,Keywords,Active
1,What is 35% of 480?,158,168,178,188,B,Quantitative Aptitude,Percentage,Easy,1,0.25,45,35% of 480 = 168.,percentage;basic,TRUE
2,"The ratio of boys to girls in a class is 7:5. If there are 84 boys, how many girls are there?",50,55,60,65,C,Quantitative Aptitude,Ratio,Easy,1,0.25,45,"84/7 = 12, therefore girls = 12 × 5 = 60.",ratio,TRUE
3,A shopkeeper gives a 10% discount on an item marked ₹1500. What is the selling price?,1300,1350,1400,1450,B,Quantitative Aptitude,Profit and Loss,Easy,1,0.25,45,Selling price = 1500 − 10% of 1500 = 1350.,discount,TRUE
4,A train travels 240 km in 4 hours. What is its average speed?,50 km/h,55 km/h,60 km/h,65 km/h,C,Quantitative Aptitude,Time Speed Distance,Easy,1,0.25,45,Speed = Distance / Time = 240/4 = 60 km/h.,speed,TRUE
5,The average of five numbers is 24. What is their total sum?,100,110,120,130,C,Quantitative Aptitude,Average,Easy,1,0.25,45,Total = Average × Count = 24 × 5 = 120.,average,TRUE
6,"If SIMPLE is coded as TJNQMF, how is MARKET coded?",NBSLFU,NBTLFU,NBSKFU,NCSLFU,A,Logical Reasoning,Coding Decoding,Easy,1,0.25,45,Each letter is shifted by one position.,coding,TRUE
7,"Find the next number: 2, 6, 12, 20, 30, ?",40,42,44,48,B,Logical Reasoning,Series,Easy,1,0.25,45,"Pattern: +4,+6,+8,+10,+12.",series,TRUE
8,"Pointing to a man, Ravi said, 'He is the son of my mother's only brother.' How is the man related to Ravi?",Brother,Cousin,Uncle,Nephew,B,Logical Reasoning,Blood Relation,Medium,2,0.25,60,Mother's only brother is Ravi's uncle; his son is Ravi's cousin.,blood relation,TRUE
9,"If South-East becomes North, North-East becomes West and so on, what will West become?",South-East,North-East,South-West,East,C,Logical Reasoning,Direction Sense,Medium,2,0.25,60,Apply the given direction mapping.,direction,TRUE
10,Choose the synonym of 'Abundant'.,Scarce,Plentiful,Limited,Rare,B,Verbal Ability,Synonyms,Easy,1,0.25,30,Abundant means plentiful.,synonym,TRUE
11,Choose the antonym of 'Transparent'.,Clear,Visible,Opaque,Open,C,Verbal Ability,Antonyms,Easy,1,0.25,30,Opaque is the opposite of transparent.,antonym,TRUE
12,Identify the grammatically correct sentence.,He don't like coffee.,He doesn't likes coffee.,He doesn't like coffee.,He not likes coffee.,C,Verbal Ability,Grammar,Easy,1,0.25,30,'Doesn't' takes the base verb.,grammar,TRUE
13,Choose the correctly spelled word.,Accomodate,Accommodate,Acommodate,Acommmodate,B,Verbal Ability,Vocabulary,Medium,2,0.25,45,Accommodate is the correct spelling.,spelling,TRUE
14,Fill in the blank: She insisted ___ paying the bill.,for,on,to,with,B,Verbal Ability,Fill in the Blanks,Medium,2,0.25,45,The correct phrase is 'insisted on'.,preposition,TRUE
15,A pie chart is primarily used to represent:,Trend over time,Parts of a whole,Frequency distribution,Correlation,B,Data Interpretation,Pie Chart,Easy,1,0.25,30,Pie charts show proportions.,pie chart,TRUE
16,A bar graph is best suited to compare:,Categories,Angles,Equations,Probabilities,A,Data Interpretation,Bar Graph,Easy,1,0.25,30,Bar graphs compare categories.,bar graph,TRUE
17,A train 180 m long crosses a platform 220 m long in 20 seconds. What is its speed?,54 km/h,60 km/h,72 km/h,80 km/h,C,Quantitative Aptitude,Time Speed Distance,Medium,2,0.25,60,Total distance = 400 m. Speed = 20 m/s = 72 km/h.,train,TRUE
18,"If the cost price of an article is ₹800 and it is sold at a profit of 15%, what is the selling price?",₹ 900,₹ 920,₹ 940,₹ 960,B,Quantitative Aptitude,Profit and Loss,Medium,2,0.25,60,Selling price = 800 × 1.15 = 920.,profit,TRUE
19,"Which number replaces the question mark? 3, 9, 27, 81, ?",162,243,324,729,B,Logical Reasoning,Series,Medium,2,0.25,60,Each term is multiplied by 3.,geometric series,TRUE
20,"The average marks of 8 students is 72. If one more student scoring 81 joins the group, what is the new average?",72,73,74,75,B,Quantitative Aptitude,Average,Medium,2,0.25,60,Total = 72 × 8 = 576. New total = 657. Average = 657/9 = 73.,average,TRUE
21,A sum of ₹12000 is invested at 10% simple interest per annum. What is the interest earned in 3 years?,"₹ 3,000","₹ 3,600","₹ 4,000","₹ 4,200",B,Quantitative Aptitude,Simple Interest,Easy,1,0.25,45,SI = (P×R×T)/100 = (12000×10×3)/100 = 3600.,simple interest,TRUE
22,The HCF of 24 and 36 is:,6,8,12,18,C,Quantitative Aptitude,HCF,Easy,1,0.25,30,The greatest common divisor of 24 and 36 is 12.,hcf,TRUE
23,"If the average of 9 numbers is 42, what is their total?",360,378,396,420,B,Quantitative Aptitude,Average,Easy,1,0.25,45,Total = Average × Number of observations = 42 × 9 = 378.,average,TRUE
24,A can complete a piece of work in 12 days. How much work does A complete in one day?,01-Oct,01-Nov,01-Dec,Jan-13,C,Quantitative Aptitude,Time and Work,Easy,1,0.25,45,One day's work = 1/12.,time and work,TRUE
25,The ratio 18:24 can be simplified to:,02:03,03:04,04:05,05:06,B,Quantitative Aptitude,Ratio,Easy,1,0.25,30,Divide both numbers by 6.,ratio,TRUE
26,"Find the next number in the series: 5, 10, 20, 40, 80, ?",120,140,150,160,D,Logical Reasoning,Series,Easy,1,0.25,45,Each term is doubled. Next = 160.,series,TRUE
27,"If PEN is coded as QFO, then BOOK is coded as:",CPPL,CPPM,CPPK,DPPL,A,Logical Reasoning,Coding Decoding,Easy,1,0.25,45,Each letter is shifted forward by one.,coding,TRUE
28,"Pointing to a photograph, Neha said, 'She is the daughter of my mother's daughter.' Who is in the photograph?",Neha's Sister,Neha's Daughter,Neha's Mother,Neha's Aunt,B,Logical Reasoning,Blood Relation,Medium,2,0.25,60,Mother's daughter refers to Neha herself; therefore the girl is Neha's daughter.,blood relation,TRUE
29,"If North becomes East, East becomes South, South becomes West and West becomes North, then in which direction does the sun set?",North,East,South,West,A,Logical Reasoning,Direction Sense,Medium,2,0.25,60,"Sun sets in West, which is renamed North.",direction,TRUE
30,Choose the synonym of 'Candid'.,Honest,Clever,Silent,Weak,A,Verbal Ability,Synonyms,Easy,1,0.25,30,Candid means honest and truthful.,synonym,TRUE
31,Choose the antonym of 'Expand'.,Increase,Enlarge,Shrink,Stretch,C,Verbal Ability,Antonyms,Easy,1,0.25,30,Shrink is opposite of expand.,antonym,TRUE
32,Identify the grammatically correct sentence.,Each of the boys have a book.,Each of the boys has a book.,Each of the boys were present.,Each boys has a book.,B,Verbal Ability,Grammar,Medium,2,0.25,45,'Each' takes a singular verb.,grammar,TRUE
